epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,160.815,0.4356,0.50812,0.33882,0.80236,0.99408,1,0.995,0.89656,0.99408,1,0.995,0.79953,0.70351,1.11043,0.35611,0.8446,0.000863116,0.000863116,0.000863116
82,162.796,0.44063,0.49659,0.33218,0.80242,0.99558,1,0.995,0.88755,0.99558,1,0.995,0.81253,0.72853,1.18894,0.34238,0.84957,0.000856042,0.000856042,0.000856042
83,164.781,0.42456,0.49261,0.3274,0.79488,0.99618,1,0.995,0.89233,0.99618,1,0.995,0.8144,0.72258,1.21814,0.34314,0.84882,0.000848969,0.000848969,0.000848969
84,166.746,0.44356,0.50954,0.33158,0.79668,0.996,1,0.995,0.89313,0.996,1,0.995,0.8087,0.70912,1.35436,0.34094,0.84863,0.000841895,0.000841895,0.000841895
85,168.764,0.43373,0.4884,0.32159,0.79317,0.99582,1,0.995,0.88785,0.99582,1,0.995,0.81115,0.72923,1.43652,0.34224,0.85227,0.000834822,0.000834822,0.000834822
86,170.802,0.43221,0.50023,0.3225,0.79688,0.98925,0.9992,0.995,0.90108,0.98925,0.9992,0.995,0.81377,0.7131,1.25487,0.35282,0.84722,0.000827748,0.000827748,0.000827748
87,172.723,0.42744,0.47921,0.32678,0.79547,0.98806,0.99866,0.995,0.89677,0.98806,0.99866,0.995,0.80843,0.7194,1.23626,0.35055,0.84824,0.000820675,0.000820675,0.000820675
88,174.734,0.42923,0.49619,0.32975,0.79466,0.99566,1,0.995,0.89581,0.99566,1,0.995,0.81692,0.70555,1.25821,0.3363,0.84529,0.000813601,0.000813601,0.000813601
89,176.732,0.4385,0.50659,0.32225,0.79455,0.99648,1,0.995,0.89851,0.99648,1,0.995,0.80854,0.70212,1.29867,0.32569,0.84712,0.000806528,0.000806528,0.000806528
90,178.679,0.41301,0.48099,0.31074,0.79395,0.99693,1,0.995,0.8929,0.99693,1,0.995,0.82589,0.72655,1.36548,0.33396,0.84941,0.000799454,0.000799454,0.000799454
